2026-02-17T18:11:23.275-05:00  INFO 676 --- [SIA] [restartedMain] com.example.SIA.SiaApplication           : Starting SiaApplication using Java 21.0.10 with PID 676 (C:\SIA1 - copia - M-A-I-A\target\classes started by ACER in C:\SIA1 - copia - M-A-I-A)
2026-02-17T18:11:23.293-05:00 DEBUG 676 --- [SIA] [restartedMain] com.example.SIA.SiaApplication           : Running with Spring Boot v3.3.4, Spring v6.1.13
2026-02-17T18:11:23.745-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\FestivoService.class]
2026-02-17T18:11:23.745-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\impl\AdminServiceImpl.class]
2026-02-17T18:11:23.751-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\impl\AprendizServiceImpl.class]
2026-02-17T18:11:23.753-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\impl\EquipoServiceImpl.class]
2026-02-17T18:11:23.753-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\impl\LoginServiceImpl.class]
2026-02-17T18:11:23.756-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\impl\PerfilServiceImpl.class]
2026-02-17T18:11:23.756-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\impl\UsuarioServiceImpl.class]
2026-02-17T18:11:23.760-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\InstructorService.class]
2026-02-17T18:11:23.762-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\MensajeService.class]
2026-02-17T18:11:23.762-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\NotificacionService.class]
2026-02-17T18:11:23.765-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\ReporteService.class]
2026-02-17T18:11:24.967-05:00  INFO 676 --- [SIA] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-02-17T18:11:24.978-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2026-02-17T18:11:24.993-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.example.SIA'. Automatic @Repository and @Entity scanning is enabled.
2026-02-17T18:11:24.993-05:00 DEBUG 676 --- [SIA] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for JPA repositories in packages com.example.SIA.
2026-02-17T18:11:25.029-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\repository\AprendizRepository.class]
2026-02-17T18:11:25.029-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\repository\EquipoRepository.class]
2026-02-17T18:11:25.029-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\repository\InstructorRepository.class]
2026-02-17T18:11:25.029-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\repository\MensajeRepository.class]
2026-02-17T18:11:25.029-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\repository\NotificacionRepository.class]
2026-02-17T18:11:25.029-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\repository\PerfilRepository.class]
2026-02-17T18:11:25.029-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\repository\ProgramacionRepository.class]
2026-02-17T18:11:25.029-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\repository\UsuarioRepository.class]
2026-02-17T18:11:25.112-05:00 DEBUG 676 --- [SIA] [restartedMain] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\impl\AdminServiceImpl.class]
2026-02-17T18:11:25.112-05:00 DEBUG 676 --- [SIA] [restartedMain] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\impl\AprendizServiceImpl.class]
2026-02-17T18:11:25.112-05:00 DEBUG 676 --- [SIA] [restartedMain] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\impl\EquipoServiceImpl.class]
2026-02-17T18:11:25.126-05:00 DEBUG 676 --- [SIA] [restartedMain] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\impl\LoginServiceImpl.class]
2026-02-17T18:11:25.126-05:00 DEBUG 676 --- [SIA] [restartedMain] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\impl\PerfilServiceImpl.class]
2026-02-17T18:11:25.126-05:00 DEBUG 676 --- [SIA] [restartedMain] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [C:\SIA1 - copia - M-A-I-A\target\classes\com\example\SIA\service\impl\UsuarioServiceImpl.class]
2026-02-17T18:11:25.162-05:00  INFO 676 --- [SIA] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 168 ms. Found 8 JPA repository interfaces.
2026-02-17T18:11:25.334-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'springSecurityHandlerMappingIntrospectorBeanDefinitionRegistryPostProcessor'
2026-02-17T18:11:25.451-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2026-02-17T18:11:25.461-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'emBeanDefinitionRegistrarPostProcessor'
2026-02-17T18:11:25.461-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
2026-02-17T18:11:25.469-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.devtools.autoconfigure.DevToolsDataSourceAutoConfiguration$DatabaseShutdownExecutorEntityManagerFactoryDependsOnPostProcessor'
2026-02-17T18:11:25.551-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2026-02-17T18:11:25.551-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'conversionServicePostProcessor'
2026-02-17T18:11:25.576-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2026-02-17T18:11:25.576-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2026-02-17T18:11:25.576-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
2026-02-17T18:11:25.588-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2026-02-17T18:11:25.596-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2026-02-17T18:11:25.618-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
2026-02-17T18:11:25.618-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
2026-02-17T18:11:25.618-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
2026-02-17T18:11:25.626-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jdbcConnectionDetailsHikariBeanPostProcessor'
2026-02-17T18:11:25.635-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'methodValidationPostProcessor'
2026-02-17T18:11:25.670-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'methodValidationPostProcessor' via factory method to bean named 'environment'
2026-02-17T18:11:25.677-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.EnableConfigurationPropertiesRegistrar.methodValidationExcludeFilter'
2026-02-17T18:11:25.710-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2026-02-17T18:11:25.763-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
2026-02-17T18:11:25.776-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
2026-02-17T18:11:25.778-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
2026-02-17T18:11:25.778-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
2026-02-17T18:11:25.785-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'projectingArgumentResolverBeanPostProcessor'
2026-02-17T18:11:25.785-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
2026-02-17T18:11:25.785-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration'
2026-02-17T18:11:25.821-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'transactionAttributeSource'
2026-02-17T18:11:25.828-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'transactionInterceptor'
2026-02-17T18:11:25.828-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'transactionInterceptor' via factory method to bean named 'transactionAttributeSource'
2026-02-17T18:11:25.853-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionAttributeSource'
2026-02-17T18:11:25.854-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionInterceptor'
2026-02-17T18:11:25.912-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.u.c.s.UiApplicationContextUtils      : Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@32dd6989]
2026-02-17T18:11:25.912-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'tomcatServletWebServerFactory'
2026-02-17T18:11:25.912-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryConfiguration$EmbeddedTomcat'
2026-02-17T18:11:25.993-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'websocketServletWebServerCustomizer'
2026-02-17T18:11:25.993-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration$TomcatWebSocketConfiguration'
2026-02-17T18:11:26.001-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'servletWebServerFactoryCustomizer'
2026-02-17T18:11:26.001-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryAutoConfiguration'
2026-02-17T18:11:26.001-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
2026-02-17T18:11:26.029-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.BoundConfigurationProperties'
2026-02-17T18:11:26.102-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'servletWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
2026-02-17T18:11:26.110-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'sslBundleRegistry'
2026-02-17T18:11:26.110-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.ssl.SslAutoConfiguration'
2026-02-17T18:11:26.116-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.ssl-org.springframework.boot.autoconfigure.ssl.SslProperties'
2026-02-17T18:11:26.116-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.ssl.SslAutoConfiguration' via constructor to bean named 'spring.ssl-org.springframework.boot.autoconfigure.ssl.SslProperties'
2026-02-17T18:11:26.124-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'sslPropertiesSslBundleRegistrar'
2026-02-17T18:11:26.124-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'fileWatcher'
2026-02-17T18:11:26.124-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'sslPropertiesSslBundleRegistrar' via factory method to bean named 'fileWatcher'
